harpnum,t0,obs_coverage,l_data_weak,l_data_baseline
6242,2016-01-09 06:00:00+00:00,1.0,0.002376736607402563,0.0019380225567147136
6247,2016-01-09 06:00:00+00:00,1.0,0.003498431295156479,0.0026127833407372236
6246,2016-01-09 07:00:00+00:00,1.0,0.0012239626375958323,0.0010896913008764386
6224,2016-01-09 09:00:00+00:00,1.0,0.0006948082591407001,0.000649105990305543
6227,2016-01-09 10:00:00+00:00,1.0,0.0013217568630352616,0.0011479394743219018
6223,2016-01-09 12:00:00+00:00,1.0,0.001537121250294149,0.0012727013090625405
6242,2016-01-09 12:00:00+00:00,1.0,0.00241831224411726,0.0019840379245579243
6247,2016-01-09 12:00:00+00:00,1.0,0.0033766154665499926,0.0024339102674275637
6246,2016-01-09 13:00:00+00:00,1.0,0.0013043821090832353,0.0011587660992518067
6250,2016-01-09 14:00:00+00:00,1.0,0.0018512889510020614,0.0014952552737668157
6224,2016-01-09 15:00:00+00:00,1.0,0.0006411694339476526,0.0005928159225732088
6227,2016-01-09 16:00:00+00:00,1.0,0.001129634096287191,0.0009870720095932484
6223,2016-01-09 18:00:00+00:00,1.0,0.0014482360566034913,0.00121872138697654
6242,2016-01-09 18:00:00+00:00,1.0,0.0028299165423959494,0.002312389435246587
6247,2016-01-09 18:00:00+00:00,1.0,0.003101410111412406,0.002176666399464011
6246,2016-01-09 19:00:00+00:00,1.0,0.0015209788689389825,0.0013086755061522126
6250,2016-01-09 20:00:00+00:00,1.0,0.0014036636566743255,0.0011842012172564864
6224,2016-01-09 21:00:00+00:00,1.0,0.0006236784975044429,0.0005764102679677308
6227,2016-01-09 22:00:00+00:00,1.0,0.0008322565699927509,0.0007461474160663784
6223,2016-01-10 00:00:00+00:00,1.0,0.0014314030995592475,0.0012280012015253305
6242,2016-01-10 00:00:00+00:00,1.0,0.0023674871772527695,0.001959072658792138
6247,2016-01-10 00:00:00+00:00,1.0,0.0027275432366877794,0.0018570487154647708
6246,2016-01-10 01:00:00+00:00,1.0,0.0016394444974139333,0.0013922130456194282
6250,2016-01-10 02:00:00+00:00,1.0,0.001613148837350309,0.0013609755551442504
6224,2016-01-10 03:00:00+00:00,1.0,0.0005842694663442671,0.0005462807021103799
6227,2016-01-10 04:00:00+00:00,1.0,0.0006484607583843172,0.0005876861396245658
6223,2016-01-10 06:00:00+00:00,1.0,0.0012771572219207883,0.0011230979580432177
6242,2016-01-10 06:00:00+00:00,1.0,0.0023642012383788824,0.002003924222663045
6247,2016-01-10 06:00:00+00:00,1.0,0.001183080836199224,0.0008633514516986907
6246,2016-01-10 07:00:00+00:00,1.0,0.0016130792209878564,0.0013632277259603143
6250,2016-01-10 08:00:00+00:00,1.0,0.0013157284120097756,0.0011452649487182498
6224,2016-01-10 09:00:00+00:00,1.0,0.0005557081312872469,0.000522236805409193
6227,2016-01-10 10:00:00+00:00,1.0,0.0006400367128662765,0.0005810862057842314
6223,2016-01-10 12:00:00+00:00,1.0,0.0011473799822852015,0.0010091866133734584
6242,2016-01-10 12:00:00+00:00,1.0,0.0027648359537124634,0.002356241922825575
6247,2016-01-10 12:00:00+00:00,1.0,0.0008414555923081934,0.0005236419383436441
6246,2016-01-10 13:00:00+00:00,1.0,0.0018398904940113425,0.001525228377431631
6250,2016-01-10 14:00:00+00:00,1.0,0.0010951714357361197,0.0009592710994184017
6227,2016-01-10 16:00:00+00:00,1.0,0.0005926470621488988,0.0005301860510371625
6223,2016-01-10 18:00:00+00:00,1.0,0.0009439389104954898,0.0008505748119205236
6242,2016-01-10 18:00:00+00:00,1.0,0.002614106982946396,0.0021705494727939367
6246,2016-01-10 19:00:00+00:00,1.0,0.0018215213203802705,0.001493816263973713
6250,2016-01-10 20:00:00+00:00,1.0,0.0008468817104585469,0.0007551733870059252
6227,2016-01-10 22:00:00+00:00,1.0,0.0005995503161102533,0.000526099931448698
6223,2016-01-11 00:00:00+00:00,1.0,0.0007980791851878166,0.0007336467388086021
6242,2016-01-11 00:00:00+00:00,1.0,0.0023944939021021128,0.001952734892256558
6246,2016-01-11 01:00:00+00:00,1.0,0.001892049447633326,0.00153237150516361
6250,2016-01-11 02:00:00+00:00,1.0,0.000618227117229253,0.0005685616051778197
6227,2016-01-11 04:00:00+00:00,1.0,0.0005897191003896296,0.0005159059655852616
6223,2016-01-11 06:00:00+00:00,1.0,0.000744133722037077,0.0006918900762684643
6242,2016-01-11 06:00:00+00:00,1.0,0.0024085764307528734,0.0019712033681571484
6246,2016-01-11 07:00:00+00:00,1.0,0.0017988956533372402,0.0014720995677635074
6250,2016-01-11 08:00:00+00:00,1.0,0.0005906933802179992,0.0005453037447296083
6223,2016-01-11 12:00:00+00:00,1.0,0.0007118950597941875,0.0006741879624314606
6242,2016-01-11 12:00:00+00:00,1.0,0.002703154692426324,0.002209562575444579
6246,2016-01-11 13:00:00+00:00,1.0,0.0019330339273437858,0.0015949234366416931
6250,2016-01-11 14:00:00+00:00,1.0,0.0006426027975976467,0.0005889208987355232
6223,2016-01-11 18:00:00+00:00,1.0,0.0006088889786042273,0.0005827731802128255
6242,2016-01-11 18:00:00+00:00,1.0,0.002501994138583541,0.001995076658204198
6246,2016-01-11 19:00:00+00:00,1.0,0.0017230132361873984,0.001443120650947094
6250,2016-01-11 20:00:00+00:00,1.0,0.0005581967998296022,0.0005057947128079832
6223,2016-01-12 00:00:00+00:00,1.0,0.0005843181861564517,0.0005787546979263425
6242,2016-01-12 00:00:00+00:00,1.0,0.0024449576158076525,0.0019370258087292314
6246,2016-01-12 01:00:00+00:00,1.0,0.0016206474974751472,0.0013478739419952035
6250,2016-01-12 02:00:00+00:00,1.0,0.0004937135963700712,0.0004527473065536469
6258,2016-01-12 03:00:00+00:00,1.0,0.0011286934604868293,0.0009885132312774658
6223,2016-01-12 06:00:00+00:00,1.0,0.0006429058848880231,0.000613903917837888
6242,2016-01-12 06:00:00+00:00,1.0,0.0023378434125334024,0.0018441170686855912
6246,2016-01-12 07:00:00+00:00,1.0,0.0015723798424005508,0.0012929339427500963
6250,2016-01-12 08:00:00+00:00,0.8775510204081632,0.0006260319496504962,0.0005765475216321647
6258,2016-01-12 09:00:00+00:00,1.0,0.001276381779462099,0.0011186505435034633
6223,2016-01-12 12:00:00+00:00,1.0,0.0005981716676615179,0.0005745007656514645
6242,2016-01-12 12:00:00+00:00,1.0,0.0026116890367120504,0.0020787531975656748
6246,2016-01-12 13:00:00+00:00,1.0,0.0017131728818640113,0.001417913823388517
6250,2016-01-12 14:00:00+00:00,0.7551020408163265,0.0007772944518364966,0.0007703562150709331
6258,2016-01-12 15:00:00+00:00,1.0,0.0011919463286176324,0.0010691207135096192
6242,2016-01-12 18:00:00+00:00,1.0,0.00259157526306808,0.0020651905797421932
6246,2016-01-12 19:00:00+00:00,1.0,0.0015628822147846222,0.0012786074075847864
6250,2016-01-12 20:00:00+00:00,0.7346938775510204,0.0005221033352427185,0.00042258031317032874
6258,2016-01-12 21:00:00+00:00,1.0,0.0011763513321056962,0.0010602435795590281
6242,2016-01-13 00:00:00+00:00,1.0,0.0026428038254380226,0.0020607172045856714
6246,2016-01-13 01:00:00+00:00,1.0,0.0016009537503123283,0.0013205631403252482
6250,2016-01-13 02:00:00+00:00,0.6938775510204082,0.00046679950901307166,0.00039430378819815814
6258,2016-01-13 03:00:00+00:00,1.0,0.0012203006772324443,0.001084276125766337
6242,2016-01-13 06:00:00+00:00,1.0,0.0027029812335968018,0.00211125984787941
6246,2016-01-13 07:00:00+00:00,1.0,0.0015672044828534126,0.0013224143767729402
6250,2016-01-13 08:00:00+00:00,0.6122448979591837,0.0005786987603642046,0.0004830696852877736
6258,2016-01-13 09:00:00+00:00,1.0,0.001290587242692709,0.0011454024352133274
6242,2016-01-13 12:00:00+00:00,1.0,0.002902592532336712,0.0022770219948142767
6246,2016-01-13 13:00:00+00:00,1.0,0.0017474163323640823,0.0014894226333126426
6258,2016-01-13 15:00:00+00:00,0.9591836734693877,0.0013393849367275834,0.001186069450341165
6242,2016-01-13 18:00:00+00:00,0.8979591836734694,0.0032165823504328728,0.00255700689740479
6246,2016-01-13 19:00:00+00:00,0.8775510204081632,0.0019050069386139512,0.0016311942599713802
6258,2016-01-13 21:00:00+00:00,0.8571428571428571,0.0012024648021906614,0.0010786264901980758
6242,2016-01-14 00:00:00+00:00,0.8571428571428571,0.0027679118793457747,0.0021582357585430145
6246,2016-01-14 01:00:00+00:00,0.8571428571428571,0.0015998794697225094,0.0013783284230157733
6258,2016-01-14 03:00:00+00:00,0.8571428571428571,0.0012541325995698571,0.0011169245699420571
6242,2016-01-14 06:00:00+00:00,0.8571428571428571,0.002894263481721282,0.002233011880889535
6246,2016-01-14 07:00:00+00:00,0.8571428571428571,0.0015633758157491684,0.001336556044407189
6258,2016-01-14 09:00:00+00:00,0.8571428571428571,0.0012674471363425255,0.0011333585716784
6242,2016-01-14 12:00:00+00:00,0.8571428571428571,0.003046150552108884,0.0023449305444955826
6246,2016-01-14 13:00:00+00:00,0.8571428571428571,0.0015386500163003802,0.0013095787726342678
